Name;Kcal;KJ;Fat;Protein;Carbohydrates;Fiber;Sodium;Potassium;Calcium;Iron;Type
Milky Way;464;1941;17.1;4.1;75.2;0.7;139;233;189;1.2;chocolates and sweets
Twix;483;2020;21;4.5;63.5;1.1;186;190;0;1.7;chocolates and sweets
Snickers;483;2020;23.9;4.5;59.3;1.8;163;330;52;2.7;chocolates and sweets
Reese's Peanut Butter Cups;515;2155;29.2;10.5;57.9;1.8;246;278;40;2.1;chocolates and sweets
Kit Kat;524;2192;27.9;7.1;61.8;0.7;91;166;77;2.4;chocolates and sweets
Skittles;406;1698;4.4;0.9;90.8;0;8;6;0;0.9;chocolates and sweets
Haribo Goldbears;342;1430;0.2;6.9;77;0;46;3;0;0;chocolates and sweets
Gummy Worms;342;1430;0.2;6.9;77;0;46;3;0;0;chocolates and sweets
M&Ms;491;2055;23.9;5.5;66.5;2.5;51;160;51;1.5;chocolates and sweets
Reese's Pieces;497;2079;23.1;8.8;64.1;2.2;321;0;38;2.2;chocolates and sweets
Hershey's Milk Chocolate Bar;546;2284;31.3;7.1;59.1;1.7;56;179;71;2.2;chocolates and sweets
Hershey's Cookies 'n' Creme;507;2120;26.2;5.6;67.6;0.7;250;111;250;1.8;chocolates and sweets
Ferrero Rocher;600;2510;42;8.2;44.4;3.3;50;330;130;2.2;chocolates and sweets
Lindt Lindor Milk Chocolate Truffles;550;2298;34;5;52;1;48;220;0;1.8;chocolates and sweets
Mars;459;1918;16.5;4.4;72.5;1.3;186;203;0;0.7;chocolates and sweets
Milka Chocolate;534;2233;30;6;60;3;55;170;0;0;chocolates and sweets
Almond Joy;491;2055;26.5;4.7;60.2;2.2;91;330;188;1.8;chocolates and sweets
Baby Ruth;459;1918;20.9;4.9;64.1;1.8;163;249;0;0.7;chocolates and sweets
Butterfinger;459;1918;12
