Name;Kcal;KJ;Fat;Protein;Carbohydrates;Fiber;Sodium;Potassium;Calcium;Iron;Type
Anchovy;210;879;14.0;20.3;0.0;0.0;720;410;147;2.2;fish
Barracuda;162;679;7.3;25.4;0.0;0.0;63;300;11;0.7;fish
Bluefish;124;518;5.9;20.4;0.0;0.0;65;337;12;0.5;fish
Catfish;105;441;2.7;18.0;0.0;0.0;54;271;11;0.7;fish
Carp;127;532;5.5;17.5;0.0;0.0;51;310;20;0.7;fish
Cod;82;344;0.7;18.5;0.0;0.0;63;439;14;0.5;fish
Eel;184;771;11.4;18.4;0.0;0.0;100;280;18;1.3;fish
Flounder;86;360;0.9;18.1;0.0;0.0;70;290;12;0.5;fish
Grouper;117;490;1.7;19.2;0.0;0.0;38;275;28;0.4;fish
Haddock;74;310;0.4;17.1;0.0;0.0;54;425;11;0.5;fish
Halibut;110;460;2.3;18.2;0.0;0.0;70;350;10;0.5;fish
Herring;217;910;15.6;18.0;0.0;0.0;86;408;86;1.1;fish
Mackerel;305;1280;25.0;18.6;0.0;0.0;75;390;12;0.7;fish
Mahi mahi;97;407;1.5;19.4;0.0;0.0;70;280;10;0.5;fish
Monkfish;76;320;0.5;17.5;0.0;0.0;40;510;18;0.4;fish
Perch;96;402;2.4;18.9;0.0;0.0;52;299;11;0.5;fish
Pike;119;498;3.0;19.6;0.0;0.0;43;444;20;0.8;fish
Pollock;92;386;0.9;20.2;0.0;0.0;68;340;17;0.5;fish
Rainbow trout;119;496;5.6;20.5;0.0;0.0;49;364;40;0.9;fish
Red snapper;110;460;2.3;19.0;0.0;0.0;40;330;34;0.5;fish
Sablefish;196;819;12.7;19.6;0.0;0.0;70;293;20;0.5;fish
Salmon;208;870;13.4;20.4;0.0;0.0;59;363;12;0.5;fish
Sardines;208;869;11.5;24.6;0.0;0.0;397;397;382;2.9;fish
Sea bass;97;405;1.8;19.7;0.0;0.0;52;310;15;0.3;fish
Sea bream;129;540;3.2;19.9;0.0;0.0;39;345;12;0.4;fish
Shad;180;754;11.0;18.0;0.0;0.0;93;270;120;2.0;fish
Shark;125;524;4.5;20.6;0.0;0.0;62;294;16;0.8;fish
Skipjack tuna;144;604;2.0;30.0;0.0;0.0;350;270;10;0.7;fish
Sole;113;472;1.8;20.2;0.0;0.0;70;220;24;0.3;fish
Spanish mackerel;169;707;12.0;19.9;0.0;0.0;65;383;30;0.5;fish
Squid;92;386;1.4;15.6;3.0;0.0;44;350;15;2.0;fish
Swordfish;206;862;13.5;20.5;0.0;0.0;49;305;12;0.6;fish
Tilefish;128;535;5.2;18.5;0.0;0.0;42;320;60;0.5;fish
Trout;119;496;4.3;20.3;0.0;0.0;54;333;20;0.7;fish
Tuna;184;770;6.3;29.9;0.0;0.0;39;340;10;0.8;fish
Whitefish;97;406;1.8;18.0;0.0;0.0;70;285;12;0.6;fish
Yellowfin tuna;144;604;2.0;30.2;0.0;0.0;380;270;10;0.7;fish
Yellowtail;141;591;5.5;22.5;0.0;0.0;57;306;30;0.5;fish
Zander;90;376;1.6;18.6;0.0;0.0;70;310;22;0.8;fish
Zebra fish;88;368;1.7;17.4;0.0;0.0;42;275;10;0.5;fish
