Name;Kcal;KJ;Fat;Protein;Carbohydrates;Fiber;Sodium;Potassium;Calcium;Iron;Type
Apple;52;218;0.2;0.3;14;2.4;1;107;6;0.1;fruits
Banana;89;371;0.3;1.1;23.5;2.6;1;358;5;0.3;fruits
Orange;47;196;0.1;0.9;12;2.4;0;181;40;0.1;fruits
Kiwi;61;255;0.5;1.1;14.7;2.1;3;312;34;0.3;fruits
Pineapple;50;210;0.1;0.5;13.1;1.4;1;109;13;0.3;fruits
Watermelon;30;126;0.2;0.6;7.6;0.4;1;112;7;0.2;fruits
Mango;60;251;0.4;0.8;15.4;1.6;1;156;11;0.2;fruits
Grapes;69;288;0.4;0.7;18.1;0.9;2;191;10;0.4;fruits
Pear;57;239;0.1;0.4;15.3;3.1;1;116;11;0.2;fruits
Peach;39;164;0.3;0.9;9.5;1.5;0;190;6;0.2;fruits
Plum;46;194;0.3;0.7;11.4;1.4;0;157;6;0.2;fruits
Apricot;48;201;0.4;1.4;11.1;2;1;259;13;0.4;fruits
Cherry;50;209;0.3;1;12.2;1.6;0;222;16;0.3;fruits
Blueberry;57;240;0.3;0.7;14.5;2.4;1;77;6;0.4;fruits
Raspberry;52;217;0.7;1.2;11.9;6.5;1;151;25;0.7;fruits
Strawberry;32;133;0.3;0.7;7.7;2;1;153;16;0.4;fruits
Blackberry;43;180;0.5;1.4;9.6;5.3;1;162;32;0.7;fruits
Cranberry;46;194;0.1;0.4;12.2;4.6;2;80;8;0.3;fruits
Grapefruit;42;175;0.1;0.7;10.7;1.1;0;135;22;0.1;fruits
Lemon;29;121;0.3;1.1;9.3;2.8;2;138;26;0.5;fruits
Lime;30;126;0.2;0.7;10.5;2.8;1;102;33;0.6;fruits
Mango;60;251;0.4;0.8;15.4;1.6;1;156;11;0.2;fruits
Nectarine;44;185;0.3;1.1;10.6;1.7;0;201;6;0.3;fruits
Orange;47;196;0.1;0.9;12;2.4;0;181;40;0.1;fruits
Papaya;43;179;0.3;0.5;10.8;1.8;8;182;20;0.3;fruits
Passion fruit;97;406;0.7;2.2;23.4;10.4;28;348;12;1.5;fruits
Peach;39;164;0.3;0.9;9.5;1.5;0;190;6;0.2;fruits
Pear;57;239;0.1;0.4;15.3;3.1;1;116;11;0.2;fruits
Pineapple;50;210;0.1;0.5;13.1;1.4;1;109;13;0.3;fruits
Plum;46;194;0.3;0.7;11.4;1.4;0;157;6;0.2;fruits
Pomegranate;83;347;1.2;1.7;18.7;4;3;236;10;0.3;fruits
Quince;57;238;0.1;0.4;15.3;1.9;17;197;17;0.7;fruits
Raspberry;52;217;0.7;1.2;11.9;6.5;1;151;25;0.7;fruits
Redcurrant;56;235;0.2;1.4;12.4;3.6;1;275;33;1;fruits
Strawberry;32;133;0.3;0.7;7.7;2;1;153;16;0.4;fruits
Tangerine;53;222;0.3;0.8;13.3;1.8;1;166;37;0.1;fruits
Ugli fruit;50;209;0.2;1;13.8;1.9;2;170;30;0.2;fruits
Watermelon;30;126;0.2;0.6;7.6;0.4;1;112;7;0.2;fruits
Yuzu;38;160;0.2;1.2;9.5;2.3;1;205;40;0.3;fruits
