Name;Kcal;KJ;Fat;Protein;Carbohydrates;Fiber;Sodium;Potassium;Calcium;Iron;Type
Lentils;116.0;486.0;0.4;9.0;20.1;7.9;2.0;369.0;56.0;3.3;legumes
Chickpeas;364.0;1523.0;6.0;19.0;61.0;17.0;24.0;875.0;105.0;6.2;legumes
Kidney beans;127.0;533.0;0.5;9.0;22.8;6.4;2.0;406.0;403.0;2.6;legumes
Black beans;132.0;553.0;0.9;9.9;23.7;8.7;1.0;355.0;1139.0;1.8;legumes
Navy beans;127.0;533.0;0.5;9.0;22.8;6.4;2.0;406.0;403.0;2.6;legumes
Pinto beans;143.0;598.0;0.9;9.0;26.0;15.0;1.0;416.0;475.0;2.2;legumes
Mung beans;347.0;1452.0;1.2;23.8;63.4;16.3;6.0;124.0;195.0;5.7;legumes
Adzuki beans;128.0;536.0;0.2;7.5;23.7;7.3;4.0;348.0;122.0;4.0;legumes
Lima beans;115.0;482.0;0.4;8.0;20.5;6.8;5.0;218.0;240.0;1.8;legumes
Fava beans;88.0;369.0;0.6;6.3;16.4;4.0;7.0;106.0;186.0;2.8;legumes
Soybeans;147.0;615.0;6.8;12.0;9.9;6.0;2.0;515.0;277.0;6.2;legumes
Lentil sprouts;106.0;444.0;0.4;8.0;20.1;3.3;2.0;329.0;69.0;3.3;legumes
Chickpea sprouts;122.0;511.0;2.1;7.1;23.2;4.0;24.0;296.0;115.0;2.2;legumes
Peas;81.0;339.0;0.4;5.0;14.5;5.5;5.0;244.0;31.0;1.5;legumes
Green beans;31.0;130.0;0.2;1.8;7.1;3.4;6.0;177.0;209.0;1.0;legumes
