Name;Kcal;KJ;Fat;Protein;Carbohydrates;Fiber;Sodium;Potassium;Calcium;Iron;Type
Beef ground 85% lean meat  15% fat raw;250;1046;15.93;17.34;0.00;0.00;64.00;342.00;11.00;2.28;meat
Beef ground 85% lean meat  15% fat cooked pan-broiled;250;1046;15.93;17.34;0.00;0.00;64.00;342.00;11.00;2.28;meat
Beef round bottom round roast separable lean and fat trimmed to 0" fat all grades cooked roasted;164;686;5.06;28.30;0.00;0.00;57.00;358.00;10.00;2.38;meat
Beef round bottom round roast separable lean and fat trimmed to 0" fat all grades raw;133;556;4.18;20.96;0.00;0.00;50.00;338.00;9.00;2.17;meat
Beef round top round separable lean only trimmed to 0" fat all grades cooked roasted;166;695;4.92;31.32;0.00;0.00;51.00;389.00;7.00;2.86;meat
Beef round top round separable lean only trimmed to 0" fat all grades raw;132;552;3.86;29.36;0.00;0.00;55.00;374.00;7.00;2.79;meat
Beef shoulder pot roast or steak boneless separable lean only trimmed to 0" fat all grades raw;144;603;4.48;24.20;0.00;0.00;56.00;307.00;7.00;2.22;meat
Beef shoulder pot roast or steak boneless separable lean only trimmed to 0" fat all grades cooked braised;228;955;10.98;32.74;0.00;0.00;69.00;415.00;10.00;2.29;meat
Beef chuck arm pot roast separable lean and fat trimmed to 0" fat all grades raw;167;699;7.65;20.45;0.00;0.00;51.00;300.00;8.00;2.11;meat
Beef chuck arm pot roast separable lean and fat trimmed to 0" fat all grades cooked braised;245;1024;14.02;28.46;0.00;0.00;57.00;325.00;9.00;2.21;meat
Pork ground 96% lean  4% fat raw;125;523;4.29;23.39;0.00;0.00;70.00;309.00;7.00;1.06;meat
Sirloin steak;271;1134;21.3;18.9;0;0;52;350;20;2.2;meat
Sausage;301;1260;25.1;16.1;1.5;0;780;420;10;2.5;meat
Shoulder roast;263;1101;19.9;20.5;0;0;44;316;7;1.6;meat
Strip steak;250;1046;17.2;25.6;0;0;70;343;10;2.1;meat
T-bone steak;250;1046;17.2;25.6;0;0;70;343;10;2.1;meat
Tri-tip roast;250;1046;17.2;25.6;0;0;70;343;10;2.1;meat
Top loin steak;250;1046;17.2;25.6;0;0;70;343;10;2.1;meat
Veal chop;225;941;14.2;24.7;0;0;55;341;10;1.6;meat
Veal cutlet;225;941;14.2;24.7;0;0;55;341;10;1.6;meat
Veal roast;225;941;14.2;24.7;0;0;55;341;10;1.6;meat
Veal shank;225;941;14.2;24.7;0;0;55;341;10;1.6;meat
Venison steak;133;557;2.3;27.8;0;0;56;366;3;3;meat
Wild boar chop;197;824;11.9;23.8;0;0;63;366;10;1.6;meat
Wild boar roast;197;824;11.9;23.8;0;0;63;366;10;1.6;meat
Wild boar ribs;197;824;11.9;23.8;0;0;63;366;10;1.6;meat
Wild boar sausage;301;1260;25.1;16.1;1.5;0;780;420;10;2.5;meat
