Name;Kcal;KJ;Fat;Protein;Carbohydrates;Fiber;Sodium;Potassium;Calcium;Iron;Type
Asparagus;20;84;0.2;2.2;3.9;2.1;2;202;24;1.1;vegetables
Bell Pepper;20;84;0.2;0.9;4.6;1.7;3;211;10;0.4;vegetables
Broccoli;34;142;0.4;2.8;6.6;2.6;33;316;47;0.7;vegetables
Brussels Sprouts;43;179;0.3;3.4;8.9;3.8;25;342;42;1.4;vegetables
Cabbage;25;105;0.1;1.3;5.8;2.5;18;170;40;0.4;vegetables
Carrot;41;173;0.2;0.9;9.6;2.8;69;320;37;0.3;vegetables
Cauliflower;25;105;0.3;1.9;4.9;2.3;30;299;22;0.4;vegetables
Celery;16;67;0.2;0.7;3;1.6;80;260;40;0.2;vegetables
Corn;96;402;1.2;3.2;19;2.7;15;270;2;0.5;vegetables
Cucumber;15;63;0.1;0.6;3.6;0.5;2;147;16;0.3;vegetables
Eggplant;25;104;0.2;1;6;3;2;229;14;0.6;vegetables
Green Beans;31;130;0.1;1.8;7.1;3.4;6;209;37;0.9;vegetables
Kale;49;205;1;4.3;9;2;38;491;150;1.5;vegetables
Leek;61;256;0.3;1.5;14.2;1.8;20;180;59;1.5;vegetables
Lettuce;15;63;0.2;1.4;2.9;1.3;28;194;33;0.5;vegetables
Mushroom;22;92;0.3;3.1;3.3;1;9;318;3;0.5;vegetables
Onion;40;167;0.1;1.1;9.3;1.7;4;146;23;0.4;vegetables
Parsley;36;151;0.8;3;6.3;3.3;56;554;138;6.2;vegetables
Peas;81;339;0.4;5.4;14.5;5.1;5;244;25;1.5;vegetables
Peppers;20;84;0.2;1;4.6;1.7;2;175;10;0.3;vegetables
Pumpkin;26;109;0.1;1;6.5;0.5;1;340;21;0.8;vegetables
Radish;16;67;0.1;0.7;3.4;1.6;39;233;25;0.3;vegetables
Red cabbage;31;130;0.2;1.4;6.6;2.1;18;243;40;0.4;vegetables
Romaine lettuce;17;72;0.3;1.2;3.3;1;28;247;33;0.5;vegetables
Spinach;23;97;0.4;2.9;3.6;2.2;79;558;99;2.7;vegetables
Squash;20;84;0.1;1;4.4;1.5;4;350;23;0.4;vegetables
Sweet potato;86;360;0.1;1.6;20.1;3;55;337;30;0.7;vegetables
Tomato;18;75;0.2;0.9;3.9;1.2;5;237;10;0.3;vegetables
Turnip;28;118;0.1;1.1;6.4;1.8;37;233;30;0.4;vegetables
Watercress;11;46;0.1;2.3;0.5;0.5;41;330;120;0.2;vegetables
Yam;118;494;0.2;1.5;28.4;4.1;9;816;17;0.5;vegetables
Zucchini;17;71;0.3;1.2;3.1;1;8;261;16;0.4;vegetables
Pak choi;13;54;0.2;1.5;1.8;1;65;252;105;1.8;vegetables
Parsnip;75;313;0.3;1.2;18;4.9;4;390;36;0.5;vegetables
Peppermint;70;294;0.9;3.8;14.9;8;26;569;243;1.2;vegetables
Potato;77;322;0.1;2;17;2.2;7;421;12;0.7;vegetables
Pumpkin flowers;16;68;0.1;1.5;3.3;1;17;262;23;0.3;vegetables
